id,Residential,Workplace,Transit,Park,Grocery,Retail,School closing,Workplace closing,Concel public events,Restrictions on gathering size,Closing public transport,Stay at home requirement,Restrictions on internal movements,International travel controls
106,-11.8709677,17.4193548,30.9032258,28.3225806,15.1290323,35.9677419,100,66.66666667,100,100,75,66.66666667,100,25
107,-10.2,14.5666667,28.9666667,27.4333333,15.1666667,31.2,100,60,90,90,74.16666667,60,90,22.5
108,-6.9354839,10.0645161,12.9677419,15.516129,-1.9677419,18.4516129,100,66.66666667,50,0,0,33.33333333,50,36.29032258
109,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,-1.6666667,1.4,0.6666667,-4.1333333,0.2,4.9333333,0,0,0,0,0,0,0,0
111,-8,9.8387097,21.7741935,33.6451613,6.3548387,28.483871,53.76344086,42.47311828,48.38709677,33.06451613,28.22580645,10.21505376,36.29032258,45.16129032
112,-17.2666667,37.0333333,53.6,51.6,15.6333333,58.0333333,83.33333333,83.33333333,75,66.66666667,75,16.66666667,75,100
113,-15.6451613,26.2580645,48.0322581,50.0645161,8.3548387,53.1290323,83.33333333,83.33333333,75,87.5,75,45.69892473,75,100
114,-13.9333333,18.9333333,40.5333333,44.3666667,2.1,44.2666667,83.33333333,50,75,87.5,75,50,75,100
115,-12.3225806,15.1612903,33.9354839,37.0322581,-4.2580645,37.0645161,83.33333333,81.1827957,75,87.5,75,50,75,92.74193548
116,-10,9.7741935,28.1290323,30.9354839,-8.1935484,29.1290323,83.33333333,83.33333333,75,87.5,75,57.52688172,75,25
117,-8.5333333,8.6,22.8666667,23.1333333,-10.7666667,25.1,83.33333333,83.33333333,75,80.83333333,75,50,75,25
118,-7.1935484,4.3225806,11.7419355,22.6451613,-16.3548387,21.3870968,83.33333333,57.52688172,75,62.5,60.48387097,50,75,25
119,-6.6333333,1.6333333,9.8666667,24.9,-18.2,17.5333333,66.66666667,50,75,62.5,25,50,75,25
120,-6.8387097,6.2580645,12.9677419,17.9354839,-23.4516129,15.1935484,83.33333333,72.58064516,75,85.88709677,7.258064516,50,75,25
121,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,0.6,-10.3333333,-4.8,5.8666667,0,2.4,0,6.896551724,0,0,0,0,0,0
123,-13.0322581,21.6774194,29.9354839,33.5483871,18.6129032,35.4193548,51.61290323,48.38709677,60.48387097,44.35483871,11.29032258,15.05376344,22.58064516,45.16129032
124,-31.5333333,66.0333333,76.9,70.2666667,56.8,78.3333333,100,85.55555556,100,80.83333333,50,66.66666667,100,100
125,-25.2258065,46.7419355,62.3870968,56.8709677,42.6774194,66.4193548,100,72.04301075,100,100,50,66.66666667,100,100
126,-20.7,34.0333333,52.2666667,44.7333333,29.7,53.8666667,100,66.66666667,100,100,50,66.66666667,100,100
127,-20.3870968,34.3548387,54.1935484,44.0967742,28.6129032,52.2258065,100,76.34408602,100,100,50,56.98924731,100,100
128,-19.2580645,33.4193548,53.9677419,43.4516129,29.0645161,52.516129,100,83.33333333,100,100,50,50,100,100
129,-14.3,24.5666667,39.7666667,31.1,14.7666667,40.2333333,100,33.33333333,100,75,50,33.33333333,50,100
